postalcode,latitude,longitude,Name
83301,42.5565,-114.4693,HOLLISTER CITY
83301,42.5565,-114.4693,TWIN FALLS CITY
83302,42.218,-114.5942,
83303,42.563,-114.4609,
83316,42.6008,-114.7825,BUHL CITY
83321,42.521,-114.8734,CASTLEFORD CITY
83328,42.5653,-114.61399999999999,FILER CITY
83334,42.5249,-114.2994,HANSEN CITY
83341,42.5287,-114.3657,KIMBERLY CITY
83344,42.4776,-114.1606,MURTAUGH CITY
83611,44.6927,-115.6417,CASCADE CITY
83615,44.6659,-116.0369,DONNELLY CITY
83635,44.8327,-116.0848,
83638,44.8918,-116.0789,MCCALL CITY
83677,44.9698,-115.4963,
83610,44.5922,-116.6757,CAMBRIDGE CITY
83645,44.442,-116.7038,MIDVALE CITY
83672,44.2522,-116.9651,WEISER CITY
